track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
15,0,2,0,2,drums,CHA,SDR,2.5878048665361693,Fergessen - The Wind,Pop/Rock,15_CHA_drums.m4a
15,0,3,0,2,other,CHA,SDR,1.4564139671054108,Fergessen - The Wind,Pop/Rock,15_CHA_other.m4a
15,0,4,0,2,vocals,CHA,SDR,2.046982430985516,Fergessen - The Wind,Pop/Rock,15_CHA_vocals.m4a
16,0,0,0,2,accompaniment,CHA,SDR,3.648618459977017,Forkupines - Semantics,Pop/Rock,16_CHA_accompaniment.m4a
16,0,1,0,2,bass,CHA,SDR,-1.2323467209394885,Forkupines - Semantics,Pop/Rock,16_CHA_bass.m4a
16,0,2,0,2,drums,CHA,SDR,4.841425169498696,Forkupines - Semantics,Pop/Rock,16_CHA_drums.m4a
16,0,3,0,2,other,CHA,SDR,0.8584254065579553,Forkupines - Semantics,Pop/Rock,16_CHA_other.m4a
16,0,4,0,2,vocals,CHA,SDR,1.204963874989463,Forkupines - Semantics,Pop/Rock,16_CHA_vocals.m4a
17,0,0,0,2,accompaniment,CHA,SDR,4.2486520730291115,Girls Under Glass - We Feel Alright,Electronic,17_CHA_accompaniment.m4a
17,0,1,0,2,bass,CHA,SDR,0.940109509840557,Girls Under Glass - We Feel Alright,Electronic,17_CHA_bass.m4a
17,0,2,0,2,drums,CHA,SDR,2.6340126956892465,Girls Under Glass - We Feel Alright,Electronic,17_CHA_drums.m4a
17,0,3,0,2,other,CHA,SDR,1.631489606142709,Girls Under Glass - We Feel Alright,Electronic,17_CHA_other.m4a
17,0,4,0,2,vocals,CHA,SDR,-1.8248735981476767,Girls Under Glass - We Feel Alright,Electronic,17_CHA_vocals.m4a
18,0,0,0,2,accompaniment,CHA,SDR,4.246001371884517,Hollow Ground - Ill Fate,Heavy Metal,18_CHA_accompaniment.m4a
18,0,1,0,2,bass,CHA,SDR,-4.159104035553359,Hollow Ground - Ill Fate,Heavy Metal,18_CHA_bass.m4a
18,0,2,0,2,drums,CHA,SDR,-0.18330404343184464,Hollow Ground - Ill Fate,Heavy Metal,18_CHA_drums.m4a
18,0,3,0,2,other,CHA,SDR,0.9763830907365678,Hollow Ground - Ill Fate,Heavy Metal,18_CHA_other.m4a
18,0,4,0,2,vocals,CHA,SDR,2.492179467183583,Hollow Ground - Ill Fate,Heavy Metal,18_CHA_vocals.m4a
19,0,0,0,2,accompaniment,CHA,SDR,3.1842071272887327,James Elder & Mark M Thompson - The English Actor,Heavy Metal,19_CHA_accompaniment.m4a
19,0,1,0,2,bass,CHA,SDR,-1.3506344273998785,James Elder & Mark M Thompson - The English Actor,Heavy Metal,19_CHA_bass.m4a
19,0,2,0,2,drums,CHA,SDR,1.5977516016980495,James Elder & Mark M Thompson - The English Actor,Heavy Metal,19_CHA_drums.m4a
19,0,3,0,2,other,CHA,SDR,1.8535027292827968,James Elder & Mark M Thompson - The English Actor,Heavy Metal,19_CHA_other.m4a
19,0,4,0,2,vocals,CHA,SDR,1.2360213018396844,James Elder & Mark M Thompson - The English Actor,Heavy Metal,19_CHA_vocals.m4a
20,0,0,0,2,accompaniment,CHA,SDR,4.691411273421097,James May - Dont Let Go,Pop/Rock,20_CHA_accompaniment.m4a
20,0,1,0,2,bass,CHA,SDR,3.3590366187838043,James May - Dont Let Go,Pop/Rock,20_CHA_bass.m4a
20,0,2,0,2,drums,CHA,SDR,-4.458972042516587,James May - Dont Let Go,Pop/Rock,20_CHA_drums.m4a
20,0,3,0,2,other,CHA,SDR,1.3036896302530994,James May - Dont Let Go,Pop/Rock,20_CHA_other.m4a
20,0,4,0,2,vocals,CHA,SDR,-2.349535200430095,James May - Dont Let Go,Pop/Rock,20_CHA_vocals.m4a
21,0,0,0,2,accompaniment,CHA,SDR,4.894353778302537,James May - On The Line,Pop/Rock,21_CHA_accompaniment.m4a
21,0,1,0,2,bass,CHA,SDR,-2.2868540868825806,James May - On The Line,Pop/Rock,21_CHA_bass.m4a
21,0,2,0,2,drums,CHA,SDR,0.6009561531640109,James May - On The Line,Pop/Rock,21_CHA_drums.m4a
21,0,3,0,2,other,CHA,SDR,1.2389829137215924,James May - On The Line,Pop/Rock,21_CHA_other.m4a
21,0,4,0,2,vocals,CHA,SDR,1.1728859540578112,James May - On The Line,Pop/Rock,21_CHA_vocals.m4a
22,0,0,0,2,accompaniment,CHA,SDR,3.517599540750873,Johnny Lokke - Promises & Lies,Pop/Rock,22_CHA_accompaniment.m4a
22,0,1,0,2,bass,CHA,SDR,-2.877614619572358,Johnny Lokke - Promises & Lies,Pop/Rock,22_CHA_bass.m4a
22,0,2,0,2,drums,CHA,SDR,4.725445070963335,Johnny Lokke - Promises & Lies,Pop/Rock,22_CHA_drums.m4a
22,0,3,0,2,other,CHA,SDR,1.2102065172006262,Johnny Lokke - Promises & Lies,Pop/Rock,22_CHA_other.m4a
22,0,4,0,2,vocals,CHA,SDR,-0.4191420690420801,Johnny Lokke - Promises & Lies,Pop/Rock,22_CHA_vocals.m4a
23,0,0,0,2,accompaniment,CHA,SDR,4.43524409815176,Jokers Jacks & Kings - Sea Of Leaves,Pop/Rock,23_CHA_accompaniment.m4a
23,0,1,0,2,bass,CHA,SDR,2.15069914391182,Jokers Jacks & Kings - Sea Of Leaves,Pop/Rock,23_CHA_bass.m4a
23,0,2,0,2,drums,CHA,SDR,3.4972029210953535,Jokers Jacks & Kings - Sea Of Leaves,Pop/Rock,23_CHA_drums.m4a
23,0,3,0,2,other,CHA,SDR,1.6362407714271034,Jokers Jacks & Kings - Sea Of Leaves,Pop/Rock,23_CHA_other.m4a
23,0,4,0,2,vocals,CHA,SDR,0.7058309856201755,Jokers Jacks & Kings - Sea Of Leaves,Pop/Rock,23_CHA_vocals.m4a
24,0,0,0,2,accompaniment,CHA,SDR,4.158519548144223,Leaf - Come Around,Pop/Rock,24_CHA_accompaniment.m4a
24,0,1,0,2,bass,CHA,SDR,5.373336157213938,Leaf - Come Around,Pop/Rock,24_CHA_bass.m4a
24,0,2,0,2,drums,CHA,SDR,-2.5213838024930317,Leaf - Come Around,Pop/Rock,24_CHA_drums.m4a
24,0,3,0,2,other,CHA,SDR,-0.6825698881535427,Leaf - Come Around,Pop/Rock,24_CHA_other.m4a
24,0,4,0,2,vocals,CHA,SDR,0.2449619122304157,Leaf - Come Around,Pop/Rock,24_CHA_vocals.m4a
25,0,0,0,2,accompaniment,CHA,SDR,4.277156518676983,Leaf - Wicked,Pop/Rock,25_CHA_accompaniment.m4a
